식당명,추천인,도보거리,미방문,가중치,링크,윤상혁,이광현,이주원,최희수,김태훈
이조불쭈꾸미,윤상혁,2,N,0.1,https://naver.me/5qAm31Gy,O,O,O,O,X
시원한대구탕,윤상혁,9,N,0.05,https://naver.me/GcjWlUhj,O,O,O,O,O
아워홈,윤상혁,6,N,0.25,https://naver.me/IDBgX6xR,O,O,O,O,O
대운식당,윤상혁,7,Y,,https://naver.me/GlVJtyzH,O,O,O,O,O
전주현대옥,윤상혁,6,N,0.15,https://naver.me/x7vr1i6u,O,O,O,O,O
나주곰탕,윤상혁,7,Y,,https://naver.me/5DHjK9lI,O,O,O,O,O
옛터,윤상혁,1,N,0.095,https://naver.me/5lZCPaSi,O,O,O,O,O
도곡한우소머리국밥,윤상혁,17,N,0.1,https://naver.me/xzcL7VRi,O,O,O,O,O
쉐이크쉑,윤상혁,5,N,0.005,https://naver.me/50pKkV6w,O,O,O,O,O
중경마라탕,윤상혁,9,N,0.15,https://naver.me/xL1ESsMd,O,O,O,O,X
김명자굴국밥,윤상혁,6,N,0.1,https://naver.me/Fgi2Nid8,O,O,O,O,O
무등산수만리염소탕,윤상혁,5,Y,,https://naver.me/FxLgAnxs,O,O,O,O,O
이조불쭈꾸미,최희수,2,N,0.05,https://naver.me/5qAm31Gy,O,O,O,O,X
시원한대구탕,최희수,9,N,0.05,https://naver.me/GcjWlUhj,O,O,O,O,O
아워홈,최희수,6,N,0.05,https://naver.me/IDBgX6xR,O,O,O,O,O
전주현대옥,최희수,6,N,0.05,https://naver.me/x7vr1i6u,O,O,O,O,O
옛터,최희수,1,N,0.05,https://naver.me/5lZCPaSi,O,O,O,O,O
중경마라탕,최희수,9,N,0.05,https://naver.me/xL1ESsMd,O,O,O,O,X
현대진,최희수,4,N,0.05,https://naver.me/x0ah2Jgr,O,O,O,O,O
명동손칼국수,최희수,4,N,0.05,https://naver.me/xq5v4zZF,O,O,O,O,O
진심왕돈까스 역삼점,최희수,14,N,0.05,https://naver.me/xdVFSlir,O,O,O,O,X
제주은희네해장국 강남역점,최희수,15,N,0.05,https://naver.me/GNyUWNON,O,O,O,O,X
쿠차라 삼성서초사옥점,최희수,10,N,0.05,https://naver.me/5PS22Ntn,X,O,O,O,O
버드나무집 서초동본점,최희수,6,Y,0.05,https://naver.me/5OnGDxNG,O,O,O,O,O
코이라멘 서초점,최희수,12,N,0.05,https://naver.me/x9JBLYI3,O,O,O,O,O
언주집 역삼점,최희수,7,Y,0.05,https://naver.me/xnKnv9Pa,O,O,O,O,X
조순금닭도리탕,최희수,8,Y,0.05,https://naver.me/GVAWNUhh,O,O,O,O,X
명륜진사갈비,최희수,9,N,0.05,https://naver.me/GZsbEFtC,O,O,O,O,O
왓쇼이켄,최희수,7,N,0.05,https://naver.me/xKQWzyw1,O,O,O,O,O
오부찌,최희수,11,N,0.05,https://naver.me/FwS73apN,O,O,O,O,O
맘스터치 강남대성학원점,최희수,10,Y,0.05,https://naver.me/GOuzPKLV,O,O,O,O,O
파파이스 강남점,최희수,2,Y,0.05,https://naver.me/5BkvQbxc,O,O,O,O,O
에그드랍,김태훈,8,N,0.1,https://naver.me/5tjeIgmQ,O,O,O,O,O
전주현대옥,김태훈,6,N,0.1,https://naver.me/x7vr1i6u,O,O,O,O,O
고부김밥,김태훈,1,N,0.8,https://naver.me/GMRk30jc,O,O,O,O,O
참치공방,이주원,8,N,0.11,"https://map.naver.com/p/entry/place/87710088?c=19.41,0,0,0,dh",O,O,O,O,O
중경마라탕,이주원,9,N,0.02,"https://map.naver.com/p/entry/place/1382405932?c=20.00,0,0,0,dh",O,O,O,O,O
